Title,Service Group,Service Category,Description,Eligibility
Language Curriculum Training Services (LCTS),Language,Community Partners,"Learning resources for language teachers

Language Curriculum Training Services (LCTS) provides language instructors across Ontario with curriculum-based professional development support specific to Language Instruction for Newcomers to Canada (LINC) and Enhanced Language Training (ELT) classrooms. 

Coordinators and instructors have access to webinars presented on current and relevant topics. Additionally, instructors are encouraged to share best practices and resources specific to professional development needs and teacher activities.

Language Teachers’ Resource Centre (LTRC) 
Lending library for language instructors

The Language Teachers’ Resource Centre (LTRC) is a lending library open to all language instructors. The LTRC’s collection includes classroom texts, videos, DVDs, CDs, instruction manuals, professional development materials and more. Materials may be borrowed for a period of up to three weeks. Browse LTRC’s Online Index or visit the centre in person by appointment only. This project is funded by Immigration, Refugees and Citizenship Canada.
",For language instructors and administrators of IRCC-funded language training programs in Ontario.
Newcomer Information Centre,Newcomer Assistance,,"A Newcomer Information Centre (NIC) is your first stop in your transition to a new life in Canada. At each NIC location, our professional, friendly, knowledgeable and multilingual staff provide free one-on-one information and referral services. The personalized information and program referrals are intended to assist newcomers with all their settlement needs and help facilitate a smooth transition to life in Canada. 

We provide information on the following services:
Employment Services
Education and Training 
English Language Training 
Housing Information 
Health Care Services 
Child, Youth and Family Resources 
Legal and Social Services 
Government Programs 
Personal Finance and Income Tax 
Community and Recreational Services 
Canadian Citizenship

Additional services available:

Self-Directed Resource Centre
Printed resources
Telephone
Computers
Fax
Printer
Scanners
Internet
 
NIC Online - www.niconline.ca 
Provides free online employment and settlement information and referral services to Permanent Residents and Convention Refugees.

Commissioner of Oaths Services 
Available by appointment at all NIC locations to take affidavits, declarations, oaths, attest/certify true copies of original documents. 

Settlement Information Sessions and Employment Workshops
These off-site or in-house group sessions provide an opportunity to learn, share and discuss your career development and settlement progress. 
Registration is required by phone, e-mail or in person. Sessions include:
Starting Your Life in Canada 
Continuing Education 
Canadian Citizenship 
Know Your Rights at Work 
Financial Literacy 
Canadian Tax System 
Identity Theft 
Banking for Newcomers in Canada
Canadian Workplace Culture
Your First Resume and Cover Letter
Practise Your Interview Skills


Care for Newcomer Children (CNC) Services 
Free childcare for newcomer children is available at our Oakville and Malton locations. Our CNC program provides care for your children six months of age or older while you access our on-site services. 

NIC Itinerant Services 
NIC services are now available within the community from various community partner locations:
Brampton and Mississauga Libraries 
Places of Worship 
Community Centres ","Services available to Permanent Residents and Convention Refugees
Please present one of the following documents at the time of your first visit to the NIC:
Permanent Resident Card (PR Card)
Record of Landing 
Protected Person Letter
"
Newcomer Information Centre (NIC) Online,Newcomer Assistance,,"It’s not easy adjusting to life in a new country but we’ve got you covered.

To make a successful transition, you need access to the right information and resources. Newcomer Information Centre (NIC) Online provides updated information and referrals related to employment and settlement in Ontario.","Permanent Resident and Convention Refugee
Must be 16 years old or older"
Compass to Connect,Newcomer Assistance,,"Access newcomer services and connect with service providers online! Visit www.compasstoconnect.ca

Compass to Connect is a website that securely connects newcomers to IRCC-funded settlement services across the Peel and Halton regions. 

Newcomers can look for services provided in their native language and can access over 60 IRCC-funded services including:
- Settlement Counselling and Referrals
- Employment
- Education
- Language Programs
- Community Services
- Credential Recognition Programs
- Information for Francophones
- Internet Access and Free Printing
- Mental Wellness
- Programs for Seniors
- Programs for Youth
- Starting a Business
- Translation and Legal Services

Services are free: All services are IRCC-funded and free to access by newcomers.
Safe and secure: Compass to Connect ensures your information is secure and sent only to the service providers you choose.
Three simple steps:
- Create your profile
- Select the services you want
- Select the service-providing organizations

For more information, contact us at info@compasstoconnect.ca","Protected Persons 
Live-in caregivers 
Individuals who have been selected, inside or outside Canada, to become Permanent Residents (pending verifications) and who have been informed by a letter from the Department. Convention Refugees and Protected Persons outside Canada who have been selected for resettlement in Canada by the Department. "
Foreign Credential Recognition Loans,Newcomer Assistance,,"Relaunch your career in Canada. 

This program provides financial loans and career counselling for internationally trained Individuals who are looking to return to their chosen profession. Receive ongoing one-on-one financial counselling and job search assistance for free, funded by the Government of Canada. 

Loan program features:
Available in Peel Region, Halton Region, Hamilton and Toronto
Educational loans for up to $15,000 
Low-interest rates (prime + 2%) 
Loan repayment terms from 1-4 years 

Career counselling features:
Developing a career action plan 
Completing the application process for credential evaluation 
Developing your resume, cover letter and interview skills 
Finding employment opportunities","Internationally trained individuals in regulated and non-regulated occupations, including trades
Permanent Resident
Canadian Citizen or Convention Refugee 
Education and related work experience outside Canada "
Career Pathways for Women,Newcomer Assistance,,"Carve your own path to employment.

Career Pathways is a free program designed to provide visible minority newcomer women with the essential skills needed to successfully navigate the Canadian workforce. Two weeks of classroom-style curriculum is followed by 10 weeks of individualized coaching and support by a workplace development coach. 

Program features: 
One-on-one coaching and job search support 
Portfolio and career development 
Essential job market skills 
Assessment and enhancement 
Networking and mentoring activities
Events and employer connections
Childcare support services (if eligible) 
Transportation cost reimbursement 

Apply at careerpathways@Achev.com to access this customized training. Intake and Information sessions are held each month on scheduled dates from 10:00 am until 2:00 pm. Only 15 seats available per cohort. Email now to reserve your spot.","Eligible to work in Canada
Permanent Resident and Convention Refugee
Canadian Language Benchmark (CLB) 7 or higher (verbal and written)"
Women's Connections & Empowerment Program,Newcomer Assistance,,"Gain a greater sense of belonging in your new community.

Women’s Connections provides programming that encourages immigrant women to actively participate in their communities. Through workshops, networking sessions and group meetings, this program will help improve your speaking and presentation skills – enabling you to take greater participation in social, economic and civic engagement within Halton Region.",Newcomer women
Seniors Engagement & Empowerment Network,Newcomer Assistance,,"Seniors inspiring seniors: Get involved in your community. 

SEEN is a program led by seniors to engage and empower newcomer and refugee seniors in the community. Through activities, information sessions and workshops, the program promotes awareness of issues such as elder abuse. The program also supports social participation and inclusion by engaging seniors to lead and participate in activities organized for clients accessing services from our organization.",Older adults 55 years old and over
Career/Virtual Loans ,Newcomer Assistance,,"Achieve your career goals in Canada.

Career Loans provides free virtual career counselling and microloans of up to $15,000 to internationally trained individuals who are looking to return to their chosen profession. 

This service is available to skilled immigrants in regulated and non-regulated occupations and trades in Alberta and Saskatchewan. Career Loans is a free service funded by Employment and Social Development Canada (ESDC), a program under the Government of Canada.

Program features: 
Micro loans up to $15,000
Low-interest rates (HSBC prime + 2%) 
Free one-on-one career counselling 
Personalized financial counselling
Loan repayment up to 4 years 
Funded by Government of Canada ","Canadian Citizen, Permanent Resident or Convention Refugee
Resident of Alberta or Saskatchewan
Internationally trained in a regulated or non-regulated occupation or trade and you are looking to return to that field of work or a related field."
"Milestones to Employment for
Newcomer Women",Newcomer Assistance,,"Are you a newcomer woman to Canada, currently without work or in temporary jobs? Milestones to Employment is a FREE employment program that can place you in steady, high-demand and long-term jobs.

Milestones to Employment assists visible minority newcomer women with little or no previous work experience, who are open to entry-level careers in the high-demand Commercial Cleaning and Institutional Food Service (Catering) industries. 
4-week classroom training to help you get a job and prepare you for a successful career. 
12-week paid job-placement with a professional company in Commercial Cleaning or Food Service, based in Peel Region.
One-on-one employment coaching and support up to 12 months.","Visible minority newcomer women
Eligible to work in Canada (Permanent Resident or Convention Refugee) 
Canadian Language Benchmark (CLB) score of 4 or higher
Little to no Canadian work experience 
Low education credentials 
Low skill level 
Unemployed or working in part-time survival jobs "
Mentoring Program,Newcomer Assistance,,"If you are an immigrant with a professional background and at least two years of international experience, TRIEC Mentoring Partnership can help you reconnect with your career. With the support of a mentor who works in your field in Canada, you will:

Develop job search strategies
Better understand Canadian workplace culture
Gain labour market insights
Build vital professional networks
Understand the Canadian context of your profession","Two-plus years of international experience in your professional field
Lived in Canada for less than five years
Unemployed or underemployed and looking to reconnect with your career"
Youth Job Connection,Youth ,,"Youth Job Connection (YJC) is a set of services to assist youth to connect to employment and education opportunities.  The program provides access to education, training and placement opportunities for young people who face significant barriers to employment. Possible barriers include but are not limited to low education, discrimination, limited/lack of recent work experience and challenging life circumstances. The YJC program will help increase your knowledge of the job market, your career options and interpersonal skill building. In addition, the valuable work experience you gain will support your long-term career growth. The Youth Job Connection program supports returning to secondary or post-secondary school, or enrolment in other types of skills training.

Program features include:
Assessment and career development services 
Paid in-class pre-employment training
Employability skills development
Job matching and placement with local employers 
Mentoring
Transition support to employment, additional training or education","15 to 29 years old at time of registration 
Resident of Ontario
Eligible to work in Canada 
Unemployed 
Not participating in full-time training or education, as defined by the institution "
Youth Job Connection-Summer,Youth ,,"Are you ready to start planning your future? Looking for a part-time Job? The Youth Job Connection Summer program (YJC-S) is here to assist you with informed education and career planning decisions.

Learn employment readiness skills, increase your knowledge of the job market and explore employment and career options. This program is open to all eligible youth aged 15 to 18, with a focus on those who are experiencing challenging life situations. These young people may be facing difficulties in school (e.g., failing courses or skipping classes) that increase the risk of not graduating. Or they may have barriers to accessing post-secondary education, such as low school performance, lack of financial resources, problems with family life, or problems in the community.

Program features include: 
Paid in-class training 
Access to job placements
Career development resources 
Education and work transition support ","15 to 18 years old at time of registration
Resident of Ontario
Eligible to work in Canada
High school student intending to stay in or return to high school (or be legally excused)  
Accessing post-secondary education after the job placement "
Employability Skills for Youth,Youth ,,"Earn while you learn in this 13-week employment program for youth 15 to 30 years of age. 

In this program you will explore career and work options while developing new employment skills and earning money. A nine-week work placement includes a $250 completion bonus. 

Program features include:
Team building 
Career and personal assessments 
Communication skills 
Labour market research 
Action planning and goal setting 
Job search skills and strategies","Youth 15 to 30 years of age
Not returning to school
Legally entitled to work in Canada
Have not received EI in the past five years
Subject to suitability interview"
Networks,Youth ,,"Connect with a mentor to launch your career.

netWORKS is a new way for young professionals to make connections with mentors who can help them get their careers off the ground through career-oriented networking and mentoring opportunities. 

Here’s how it works: 
Mentors and the young professionals (mentees) receive training and then are able to participate in large group (speed networking), small group and individual networking sessions.

Program features: 
Meet new career role models
Expand your professional network 
Build your confidence 
Get real-world advice about how to find a job 
Access information about the corporate work environment 
Get constructive feedback about your career ideas and job search","18 to 29 years of age                                                                                                                                                                      
Not in school                                                                                                                                                                       
Not working (can be employed part-time less than 20 hours per week or underemployed)          
Eligible to work in Canada "
Summer Job Challenge,Youth ,,"Gain valuable work experience while earning an income this summer.

The Peel Youth Summer Job Challenge provides youth in Peel with two months of employment in entry-level positions. Youths are hired to work for local community and public sector employers and Region of Peel departments providing services to residents. Rate of pay is $14.00 per hour for 35 hours per week. During those eight weeks, wages are paid by Phoenix.

Main job types include: 
Labour – such as painting, cleaning, planting, etc. (does not include roles that involve driving) Administrative – such as data entry, clerical, technical work, etc. 
Service – such as direct delivery of services to children, seniors, youth, etc. ","Must be between 16 and 24 years old or up to 29 years of age if on Ontario Disability Support Program (ODSP)
Priority will be given to recipients or dependents of recipients of Ontario Works (OW)
Must be available to work full-time from July 2 to August 27, 2020 
Must live in Brampton, Caledon or Mississauga 
Cannot be a relative of an Phoenix or Region of Peel employee or an agency that receives funding from the Region of Peel 
Cannot have successfully completed a previous Summer Job Challenge program 
No previous work experience is required 
More than one youth per household may apply, however participation in the Summer Job Challenge program will be limited to one youth per household. 

Application process:
Youth can apply online at http://bit.ly/2H8Khva or by sending an application to youthsjc@tcet.com between February 19 to June 5, 2020
Hard copy applications are available at the Phoenix Brampton South location on 7700 Hurontario St. Community Door, Unit 601, Suite 100, Brampton, from Feb 19th to Jun 5th. Applicants will meet with their Job Coaches when they visit our office. 

For more information, contact: 
Youth Summer Job Challenge
905-457-4747 ext. 2222 
youthsjc@tcet.com or agencysjc@tcet.com "
EmpowHer,Youth ,,"This program was created to empower young women to become more engaged in their community through volunteerism. Volunteer experience has become an important consideration when hiring. Our program helps young women develop the necessary skills to become agents of change in their community. The program is designed to meet the specific needs of each participating cohort to ensure every cohort receives the necessary assistance to achieve success. 

Through the development of strong community relationships, EmpowHer has become a well-recognized and popular program that fills up quickly. 

Features include:
LinkedIn training
Online and in-person mentorship development
Diversity and inclusion training
Personality dimensions
Grant writing
Entrepreneurship
Financial Lliteracy
Law
Education
Government and politics
Female leadership
Job preparatory skills
Services in the community for female youth
Experience and skills development through volunteerism and community engagement","Female youth age 16 to 29
Newcomer female youth age 16 to 29 with Canadian Language Benchmark (CLB) score of 5 or higher
Must have a resume
Must participate in an interview

Participants are required to:
Attend program orientation
Volunteer for 140 hours over 9 weeks 
Complete 10 in-class workshops
Travel to Brampton and Mississauga 

Applicants must send in a resume and should expect to be called in for an interview. All those accepted into the program will go through a two-hour orientation. Participants will be expected to contribute a minimum 120 hours of volunteer time over the course of the program.  "
LEaD,Youth ,,"If you love party planning, you’ll love this summer work opportunity. 

Youth 15 to 24 years old are eligible to participate in a 10-day in-class training program for non-profit event planning, taught by Volunteer MBC. Participants will plan and execute an event offered to youth in the community, earning 140 volunteer hours over the course of the program. ","Newcomer youth, in Canada for less than five years, will be prioritized for this project. 
Must be able to commit to 140 hours of volunteer work
Must complete an application process
Only 20 youth will be accepted into the summer program  "
BYSSI,Youth ,,"The Black Youth School Success Initiative (BYSSI) is a new pilot program for Black youth in grades six to 12. An initiative of the Peel District School Board’s “We Rise Together” action plan, this program brings together Black-led organizations, schools and mainstream community agencies to provide support for Black youth in the Peel Region. Delivered through a culturally appropriate lens, while understanding the lived experiences of Black youth, the program provides support in academics, mentorship, motivation, self-esteem, cultural and self-discovery.","Black youth 
Live in Peel Region
Attend either Peel District School Board or Dufferin-Peel Catholic District School Board 
In grade six to 12 "
Next Steps,Youth ,,"If you’re serious about planning your future, consider this intensive 11-week program.

Advance your employment and career goals in this Employment Essentials course. Four sessions are offered throughout the year: January, April, July and October. Please see program flyer or contact our office for specific dates.

Program features:
Personal assessment 
Career exploration and planning 
Action planning and goal setting 
Impactful life skills strategies 
Job search skills and strategies 
Networking and interview skills 
Development of resume and cover letter 
Communication and time management skills
","Program is by appointment only; please contact the program to schedule an appointment
18 to 29 years of age at start of program 
In receipt of Ontario Works (OW)
Caseworker must provide a referral form 
Must have a minimum Canadian Language Benchmark (CLB) Level 5"
